,id,stocks_number,open_price,open_value,open_commission,open_total,SL,close_price,close_value,close_commission,close_total,trans_result
12,4,10,57,570,3,573,0,0,0,0,0,0
13,4,10,57,570,3,573,"51,3",0,0,0,0,0
14,4,10,57,570,3,573,"51,3","51,3",513,3,510,-63
15,5,10,"61,5",615,3,618,0,0,0,0,0,0
16,5,10,"61,5",615,3,618,"55,35",0,0,0,0,0
17,5,10,"61,5",615,3,618,"56,7",0,0,0,0,0
18,5,10,"61,5",615,3,618,"58,05",0,0,0,0,0
19,5,10,"61,5",615,3,618,"59,85",0,0,0,0,0
20,5,10,"61,5",615,3,618,"60,3",0,0,0,0,0
21,5,10,"61,5",615,3,618,"60,3","60,3",603,3,600,-18
22,6,10,65,650,3,653,0,0,0,0,0,0
23,6,10,65,650,3,653,"58,5",0,0,0,0,0
24,6,10,65,650,3,653,"58,5","58,5",585,3,582,-71
25,7,10,"58,5",585,3,588,0,0,0,0,0,0
26,7,10,"58,5",585,3,588,"52,65",0,0,0,0,0
27,7,10,"58,5",585,3,588,"54,9",0,0,0,0,0
28,7,10,"58,5",585,3,588,"55,8",0,0,0,0,0
29,7,10,"58,5",585,3,588,"56,25",0,0,0,0,0
30,7,10,"58,5",585,3,588,"56,7",0,0,0,0,0
31,7,10,"58,5",585,3,588,"57,6",0,0,0,0,0
32,7,10,"58,5",585,3,588,63,0,0,0,0,0
33,7,10,"58,5",585,3,588,"66,6",0,0,0,0,0
34,7,10,"58,5",585,3,588,"66,6","66,6",666,3,663,75
35,8,10,"66,5",665,3,668,0,0,0,0,0,0
36,8,10,"66,5",665,3,668,"59,85",0,0,0,0,0
37,8,10,"66,5",665,3,668,"59,85","59,85","598,5",3,"595,5","-72,5"
38,9,10,61,610,3,613,0,0,0,0,0,0
39,9,10,61,610,3,613,"54,9",0,0,0,0,0
40,9,10,61,610,3,613,"54,9","54,9",549,3,546,-67
41,10,10,62,620,3,623,0,0,0,0,0,0
42,10,10,62,620,3,623,"55,8",0,0,0,0,0
43,10,10,62,620,3,623,"56,7",0,0,0,0,0
44,10,10,62,620,3,623,"56,7","56,7",567,3,564,-59
45,11,10,"53,5",535,3,538,0,0,0,0,0,0
46,11,10,"53,5",535,3,538,"48,15",0,0,0,0,0
47,11,10,"53,5",535,3,538,"48,15","48,15","481,5",3,"478,5","-59,5"
48,12,10,39,390,3,393,0,0,0,0,0,0
49,12,10,39,390,3,393,"35,1",0,0,0,0,0
50,12,10,39,390,3,393,"35,1","35,1",351,3,348,-45
51,13,10,"21,5",215,3,218,0,0,0,0,0,0
52,13,10,"21,5",215,3,218,"19,35",0,0,0,0,0
53,13,10,"21,5",215,3,218,"20,52",0,0,0,0,0
54,13,10,"21,5",215,3,218,"20,52","20,52","205,2",3,"202,2","-15,8"
58,15,10,"18,7",187,3,190,0,0,0,0,0,0
59,15,10,"18,7",187,3,190,"16,83",0,0,0,0,0
60,15,10,"18,7",187,3,190,"16,83","16,83","168,3",3,"165,3","-24,7"
61,16,10,"17,7",177,3,180,0,0,0,0,0,0
